uems	988665
yulk	890507
rdrf	879098
vvoa	943499
dlqq	1062011
tmxg	1086414
ctcd	856464
kfoy	908184
tnfu	1112805
yupd	1008082
pvul	1134287
bdtc	1029282
jknv	898921
bazs	1049947
phiu	1129454
wevc	1027940
rjug	1032101
tcdb	909586
jtno	927599
hkyj	1018200
vmid	912245
ohxt	969612
lnbe	1056764
jcvy	973896
akkg	1054483
yuqn	1010498
amua	1106628
bawq	1065366
ccnm	917716
mqay	1079450
yvye	1084391
ajxt	916414
xwxq	1243817
dnvi	992011
nozk	1096806
nzql	964531
atta	1009940
rllf	1096816
xyrl	1071088
arqg	1019247
tygg	911440
vbjr	1004767
yemz	1135358
ecpe	949861
kvfl	903639
pgxk	987595
nbwm	907192
nijx	963613
csdh	970156
fcqa	1113665
tvxw	1037501
btqy	1035885
ohrs	1027958
vonc	1084261
wlwf	908827
wdbj	980904
tekd	1106403
kepz	884284
zjqa	972637
jxkt	1076959
bvih	1068922
tbox	842982
ktis	1002390
afse	1067229
kwuq	926276
khyr	1045469
lzgx	1167076
ibhr	1154437
qnkp	1020719
bqzf	960316
xtnz	1025698
opht	974584
udrc	1205428
xwym	1048821
qpxj	961603
apjf	1003585
ydtm	931848
bgem	1029326
dikh	910259
sins	979671
gnkw	980630
kjhn	1022003
waak	1074597
hkpv	823729
qrkb	1072525
ogcx	827560
ziyg	986800
sxew	1051625
csoh	1001520
ppes	857461
cowv	890613
opto	1024729
trao	1110465
zeko	1118113
muwo	1072379
dkny	1058415
oxbf	1022774
pnsg	1115032
rynz	1065056
qwmm	1000828
etia	932024
scvv	955216
iexm	1033842
qsih	1076353
wgzu	1013381
djsf	1038605
ksqi	934876
kryw	1130396
pszg	1007939
jeop	1247122
irii	1160235
lqyy	1166520
ixtl	989123
enxu	959352
ddow	1074582
gqvh	868265
ooyl	870489
fatz	1063666
aaul	1051727
cgte	982897
boon	1133663
bfda	1091220
brpa	864837
qzil	981770
lqso	1024791
cojc	1057383
npla	1067895
vogp	1047707
wgjg	1193660
xoac	1015104
bwjk	1020821
boay	843471
enzg	953313
vczn	1063210
yrjh	968573
jjzj	896504
hwbp	1093451
ulkl	771102
zuol	991107
qcfy	1115334
strh	866214
zezo	752062
btmy	914783
nmwy	839969
icht	1078615
xkhx	1063539
fhcr	1130075
tkgg	1057854
kmhq	793847
piul	1030453
shfl	1164841
paga	1068170
zdph	976419
mnwk	1054206
okvh	862108
hmnj	844641
zard	868270
hsgx	890211
kyjc	915879
gckj	990519
uclf	934640
csor	932725
isyn	1067526
nzmf	1016918
krti	1080675
zjjk	1049154
yqbt	1028387
ovfz	1188725
xfmd	1074676
qkyd	903615
vovk	933802
mipx	975662
knhx	976781
ixtm	1028509
kgqj	934559
qoma	997335
cawf	946699
ojji	1040187
ugdt	863164
yfai	844214
ngzr	1055962
fjaz	922632
wjpu	1062593
trlj	811468
okxj	957195
pytr	1011341
wamc	1065737
yhvs	968103
aczi	1002380
cfpu	987304
vhgk	1023477
ykzd	988493
enwn	1029929
jult	1011396
knuo	1003510
kjbh	901899
rfon	1174934
ewfy	917588
jpmr	889199
bidc	1026681
erpk	1051994
kgyk	930185
qyes	1252057
zyys	999744
dmbn	972876
alpn	990853
gbym	874286
phmt	1105566
sebm	1103561
uxne	977005
tdwr	1019251
mweu	959784
ronq	1256643
uxvk	834363
cjzb	970429
somi	1011205
rdia	1095226
ziuq	964883
sffx	1012164
yegy	882283
yfbd	960349
bbfb	1002228
ehot	869166
rgun	916698
wcjd	1056157
tuzk	1070560
xboh	1029758
nwvd	1048113
iguz	886239
pkya	1056178
kcbr	971303
iund	1096219
ctmr	978832
mfed	880226
syom	913367
xfrp	1090781
dwta	1016940
gygo	1006525
xpho	995038
kldu	989913
nrgt	1194322
bues	759581
mqgj	846986
gyoo	1011638
wvdd	1089978
bzrq	909791
pagf	1105531
xknx	821854
uvoq	962041
krtz	1092323
brsz	861811
anhz	1078872
gopl	1078682
dnik	1004714
gvrb	906985
usyo	865029
ktgk	1176478
tsus	1031713
lqbk	1006856
dswt	1036664
lzrc	997405
wddb	1006655
fsmn	1146139
uneq	1008101
rkeb	1098272
ldgw	890978
vztk	1003993
gkvp	1037846
nvnu	1020772
kvbr	1232742
svau	841719
qdtr	953971
dbkp	1022762
lcvk	942767
sxma	905004
xzzp	1217893
whor	1002180
hkmb	991674
kozv	1183334
urmy	831163
fusf	842531
snnt	1098758
neku	887134
gzmo	763855
cfai	958316
tmht	1157319
fvpm	963601
nsjo	865432
gmwe	1028172
yvrp	980206
cojo	1035264
coqd	886203
oaob	1021410
kdhy	1097269
tszm	1007679
yezb	974137
ykcv	1057050
rcdy	908685
uqwc	947803
sewq	879403
yyng	1025632
ptbq	1018837
jide	870527
lmcr	1074068
qukj	947721
gndj	973333
ynoc	1117580
gmka	977465
nedg	1064312
yemt	1054458
aitu	952461
egsz	960054
cdxx	808669
jque	843906
cbom	828742
nxxb	851993
pzvc	996827
zzbm	850528
xepo	980131
aewo	1160713
nbld	925268
cqbq	1157979
olti	1133009
qjyd	1096471
ngwv	948212
jgvc	1138773
wlqn	1085289
